ticker,expiry,option_type,strike,bid,ask,mid,lastPrice,volume,openInterest,impliedVolatility,days_to_expiry,T_years,log_moneyness,contractSymbol,spot,q,r_cc
AAPL,2026-09-04,call,350.0,0.11,0.13,0.12,0.12,281.0,2023,0.25928475097656256,21,0.057534246575342465,0.1345768608109868,AAPL260904C00350000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,355.0,0.07,0.18,0.125,0.1,10.0,508,0.2963937548828125,21,0.057534246575342465,0.14876149580294326,AAPL260904C00355000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,360.0,0.06,0.1,0.08,0.07,13.0,1866,0.29395237304687494,21,0.057534246575342465,0.16274773777768298,AAPL260904C00360000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,365.0,0.01,0.12,0.065,0.01,2.0,235,0.3232489550781249,21,0.057534246575342465,0.1765410599100188,AAPL260904C00365000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,370.0,0.01,0.23,0.12000000000000001,0.05,3.0,573,0.37744763183593744,21,0.057534246575342465,0.19014671196579747,AAPL260904C00370000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,call,380.0,0.01,0.07,0.04,0.05,3.0,131,0.36035795898437495,21,0.057534246575342465,0.21681495904795886,AAPL260904C00380000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,220.0,0.01,0.07,0.04,0.03,1.0,95,0.507817421875,21,0.057534246575342465,-0.32972874732011115,AAPL260904P00220000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,225.0,0.01,0.21,0.11,0.04,1.0,19,0.53320779296875,21,0.057534246575342465,-0.3072558914680525,AAPL260904P00225000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,230.0,0.01,0.14,0.07500000000000001,0.04,50.0,40,0.51562984375,21,0.057534246575342465,-0.2852769847492772,AAPL260904P00230000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,235.0,0.01,0.22,0.115,0.14,2.0,18,0.5127001855468749,21,0.057534246575342465,-0.26377077952831357,AAPL260904P00235000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,240.0,0.01,0.1,0.055,0.07,1.0,152,0.42774009765625004,21,0.057534246575342465,-0.24271737033048135,AAPL260904P00240000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,245.0,0.04,0.25,0.145,0.07,4.0,59,0.450200810546875,21,0.057534246575342465,-0.22209808312774565,AAPL260904P00245000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,250.0,0.04,0.1,0.07,0.08,9.0,124,0.3632876171875,21,0.057534246575342465,-0.20189537581022615,AAPL260904P00250000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,255.0,0.06,0.15,0.105,0.13,17.0,150,0.35108070800781244,21,0.057534246575342465,-0.18209274851404653,AAPL260904P00255000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,260.0,0.08,0.24,0.16,0.15,111.0,154,0.34278000976562495,21,0.057534246575342465,-0.1626746626569449,AAPL260904P00260000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,265.0,0.12,0.27,0.195,0.2,25.0,278,0.3147041186523437,21,0.057534246575342465,-0.1436264676862504,AAPL260904P00265000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,270.0,0.25,0.34,0.29500000000000004,0.28,19.0,594,0.2919992675781249,21,0.057534246575342465,-0.12493433467409783,AAPL260904P00270000,305.92999267578125,0.0034648449821112104,0.037969931251628626
