ticker,expiry,strike,mid_call,mid_put,lhs,rhs,parity_gap
SPY,2026-09-30,580.0,198.325,0.355,197.97,198.20051923825577,-0.23051923825576637
SPY,2026-09-30,585.0,193.365,0.385,192.98000000000002,193.2249059670106,-0.2449059670105953
SPY,2026-09-30,590.0,154.58499999999998,0.405,154.17999999999998,188.24929269576546,-34.06929269576548
SPY,2026-09-30,594.0,184.44,0.425,184.015,184.26880207876945,-0.2538020787694677
SPY,2026-09-30,595.0,183.45,0.435,183.015,183.27367942452042,-0.25867942452043735
SPY,2026-09-30,599.0,145.83499999999998,0.455,145.37999999999997,179.2931888075243,-33.913188807524335
SPY,2026-09-30,600.0,178.49,0.4649999999999999,178.025,178.29806615327527,-0.2730661532752663
SPY,2026-09-30,601.0,159.975,0.4649999999999999,159.51,177.30294349902624,-17.79294349902625
SPY,2026-09-30,602.0,176.51,0.475,176.035,176.3078208447772,-0.2728208447772147
SPY,2026-09-30,603.0,175.51999999999998,0.485,175.03499999999997,175.31269819052818,-0.27769819052821276
SPY,2026-09-30,605.0,173.54,0.495,173.045,173.32245288203012,-0.27745288203013274
SPY,2026-09-30,606.0,172.55,0.505,172.04500000000002,172.3273302277811,-0.282330227781074
SPY,2026-09-30,609.0,139.735,0.525,139.21,169.341962265034,-30.13196226503399
SPY,2026-09-30,610.0,168.59,0.525,168.065,168.34683961078497,-0.2818396107849708
SPY,2026-09-30,612.0,138.465,0.545,137.92000000000002,166.3565943022869,-28.436594302286892
SPY,2026-09-30,615.0,163.64,0.565,163.075,163.37122633953982,-0.29622633953982813
SPY,2026-09-30,620.0,158.7,0.605,158.095,158.39561306829467,-0.30061306829466616
SPY,2026-09-30,621.0,128.525,0.61,127.915,157.40049041404563,-29.48549041404563
SPY,2026-09-30,623.0,128.325,0.625,127.69999999999999,155.41024510554757,-27.710245105547585
SPY,2026-09-30,625.0,153.75,0.645,153.105,153.4199997970495,-0.3149997970495235
SPY,2026-09-30,626.0,123.89,0.655,123.235,152.42487714280048,-29.189877142800484
SPY,2026-09-30,627.0,151.76999999999998,0.66,151.10999999999999,151.42975448855145,-0.3197544885514674
SPY,2026-09-30,629.0,133.16000000000005,0.675,132.48500000000004,149.4395091800534,-16.95450918005335
SPY,2026-09-30,630.0,148.81,0.685,148.125,148.44438652580436,-0.31938652580436155
SPY,2026-09-30,631.0,130.15,0.695,129.455,147.44926387155533,-17.99426387155532
SPY,2026-09-30,632.0,146.82999999999998,0.705,146.12499999999997,146.4541412173063,-0.3291412173063293
SPY,2026-09-30,633.0,128.22,0.715,127.505,145.45901856305727,-17.954018563057275
SPY,2026-09-30,634.0,116.52,0.725,115.795,144.46389590880824,-28.66889590880824
SPY,2026-09-30,635.0,143.87,0.735,143.135,143.46877325455932,-0.3337732545593326
SPY,2026-09-30,636.0,142.88,0.745,142.135,142.4736506003103,-0.33865060031030225
SPY,2026-09-30,637.0,113.775,0.755,113.02000000000001,141.47852794606126,-28.458527946061253
SPY,2026-09-30,638.0,108.365,0.765,107.6,140.48340529181223,-32.88340529181224
SPY,2026-09-30,639.0,122.45,0.775,121.675,139.4882826375632,-17.813282637563205
SPY,2026-09-30,640.0,138.93,0.785,138.145,138.49315998331417,-0.34815998331416154
SPY,2026-09-30,641.0,137.95,0.795,137.155,137.49803732906514,-0.3430373290651403
SPY,2026-09-30,642.0,104.58,0.805,103.77499999999999,136.5029146748161,-32.72791467481612
SPY,2026-09-30,643.0,135.97,0.815,135.155,135.50779202056708,-0.3527920205670796
SPY,2026-09-30,645.0,134.0,0.84,133.16,133.51754671206902,-0.35754671206902344
SPY,2026-09-30,646.0,133.015,0.855,132.16,132.52242405782,-0.3624240578199931
SPY,2026-09-30,647.0,114.78,0.865,113.915,131.52730140357096,-17.612301403570953
SPY,2026-09-30,650.0,129.07,0.9,128.17,128.54193344082387,-0.3719334408238808
SPY,2026-09-30,652.0,95.175,0.925,94.25,126.55168813232581,-32.30168813232581
SPY,2026-09-30,653.0,109.055,0.94,108.11500000000001,125.55656547807678,-17.441565478076768
SPY,2026-09-30,654.0,125.13,0.955,124.175,124.56144282382775,-0.38644282382774975
SPY,2026-09-30,655.0,124.15,0.965,123.185,123.56632016957872,-0.3813201695787143
